date,time,x,y,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10,RSSI11,RSSI12,RSSI13,RSSI14,RSSI15,RSSI16,RSSI17,RSSI18
7-01,14:10:27.096,4,1,-83.0,,-91.0,,,-86.0,,,,,-94.0,,,,,-88.0
7-01,14:10:27.464,4,1,,,,,,,,,-91.0,-85.0,,,,-83.0,-85.0,
7-01,14:10:27.848,4,1,,,,-95.0,,-91.0,,,,,,-97.0,,,,
7-01,14:10:28.238,4,1,,,,,,,,,,,,,-88.0,,,-88.0
7-01,14:10:28.409,4,1,-86.0,-93.0,,,-85.0,,-90.0,-88.0,,,,,,-85.0,,
7-01,14:10:28.583,4,1,,,,,,,,,-89.0,-83.0,-91.0,,,,-85.0,
7-01,14:10:28.738,4,1,,,-91.0,-99.0,,,,,,,,-94.0,,,,
7-01,14:10:29.109,4,1,-84.0,-93.0,,,-84.0,,-90.0,,,,,,-88.0,-93.0,,-87.0
7-01,14:10:29.334,4,1,,,,,,-89.0,,-90.0,,,,,,,,
7-01,14:10:29.569,4,1,,,,-96.0,,,,,-88.0,-81.0,-92.0,-93.0,,,-85.0,-94.0
7-01,14:10:29.910,4,1,,,-94.0,,-85.0,-93.0,-91.0,,,,,,,-93.0,,
7-01,14:10:30.140,4,1,-85.0,-96.0,,,,,,,,,,,,,,
7-01,14:10:30.347,4,1,,,,,,,,-102.0,,,,,-100.0,,,
7-01,14:10:30.567,4,1,,,-91.0,-99.0,,-94.0,,,-88.0,-81.0,-89.0,-96.0,,,-83.0,
7-01,14:10:30.985,4,1,,,,,,,,,,,,,,-94.0,,
7-01,14:10:31.146,4,1,-83.0,-94.0,,,-84.0,,-91.0,,,,,,,,,-96.0
7-01,14:10:31.501,4,1,,,,,,,,,,,-90.0,-94.0,,,,
7-01,14:10:31.687,4,1,,,-91.0,-98.0,,,,,-90.0,-81.0,,,-86.0,,,
7-01,14:10:31.864,4,1,,,,,,-92.0,,,,,,,,,,
7-01,14:10:32.022,4,1,,-94.0,,,-85.0,,-91.0,-89.0,,,,,,,-84.0,-97.0
7-01,14:10:32.203,4,1,-83.0,,,,,,,,,,,,,,,
7-01,14:10:32.572,4,1,,,,,,,,,,,,-92.0,,,,
7-01,14:10:32.703,4,1,,,-92.0,,,,,,,,,,-85.0,,,
7-01,14:10:32.847,4,1,,,,,,,,,,-81.0,-90.0,,,,,
7-01,14:10:33.008,4,1,,,,-96.0,,,,-89.0,,,,,,-86.0,,
7-01,14:10:33.138,4,1,-85.0,,,,-84.0,,-92.0,,-85.0,,,,,,-83.0,
7-01,14:10:33.288,4,1,,-98.0,,,,-89.0,,,,,,,,,,
7-01,14:10:33.544,4,1,,,,,,,,,,,,,,-96.0,,-95.0
7-01,14:10:33.677,4,1,,,,,,,,,,-81.0,-88.0,,,,,
7-01,14:10:33.809,4,1,,,,,,-93.0,,,,,,-95.0,,,,
7-01,14:10:33.936,4,1,,,,-96.0,,,,,,,,,,,,
7-01,14:10:34.065,4,1,,,,,,,,-88.0,,,,,,,,
7-01,14:10:34.194,4,1,,-97.0,,,-84.0,,-90.0,,,,,,-84.0,,-83.0,-96.0
7-01,14:10:34.325,4,1,-86.0,,-92.0,,,,,,,,,,,,,
7-01,14:10:34.458,4,1,,,,,,,,,,,,,,-93.0,,
7-01,14:10:34.719,4,1,,,,-96.0,,-93.0,,,-87.0,-81.0,-88.0,-94.0,,,,
7-01,14:10:35.001,4,1,,,,,,,,-87.0,,,,,,,,
7-01,14:10:35.144,4,1,,-92.0,,,-85.0,,-90.0,,,,,,,,-82.0,
7-01,14:10:35.286,4,1,-86.0,,-92.0,,,,,,,,,,-84.0,,,
7-01,14:10:35.422,4,1,,,,,,,,,,,,,,,,-101.0
7-01,14:10:35.559,4,1,,,,,,,,,,,,-94.0,,,,
7-01,14:10:35.698,4,1,,,,,,-92.0,,,-87.0,-81.0,-89.0,,,,,
7-01,14:10:36.002,4,1,,,,,,,,-87.0,,,,,,-92.0,,
7-01,14:10:36.320,4,1,-87.0,-92.0,-93.0,,-84.0,,,,,,,,,,-83.0,-96.0
7-01,14:10:36.483,4,1,,,,-97.0,,,-90.0,,,,,,-87.0,,,
7-01,14:10:36.629,4,1,,,,,,,,,-88.0,,-89.0,-94.0,,,,
7-01,14:10:36.767,4,1,,,,,,-93.0,,,,,,,,,,
7-01,14:10:36.914,4,1,,,,,,,,,,,,,,-95.0,,
7-01,14:10:37.099,4,1,,,,,,,-90.0,-87.0,,,,,,,,
7-01,14:10:37.251,4,1,,,,,,,,,,-83.0,,,-89.0,,,
7-01,14:10:37.390,4,1,,,-91.0,-97.0,,,,,,,,,,,,-97.0
7-01,14:10:37.668,4,1,,-85.0,,,-85.0,,,,,,-88.0,,,,-83.0,
7-01,14:10:37.810,4,1,-87.0,,,,,,,,,,,-94.0,,,,
7-01,14:10:37.951,4,1,,,,,,,,,,,,,,-92.0,,
7-01,14:10:38.103,4,1,,,,,,-92.0,,-87.0,,,,,,,,
7-01,14:10:38.256,4,1,,,-92.0,,,,,,-88.0,-81.0,,,-85.0,,,
7-01,14:10:38.395,4,1,,-92.0,,-97.0,,,,,,,,,,,,-98.0
7-01,14:10:38.681,4,1,,,,,-84.0,,-90.0,,,,-87.0,,,,-83.0,
7-01,14:10:38.826,4,1,,,,,,,,,,,,-93.0,,,,
7-01,14:10:38.965,4,1,-83.0,,,,,,,,,,,,,,,
7-01,14:10:39.126,4,1,,-97.0,,,,,,-89.0,-86.0,,,,,,,
7-01,14:10:39.306,4,1,,,,-98.0,,,,,,,,,,,,-94.0
7-01,14:10:39.479,4,1,,,,,,-89.0,,,,,,,,-89.0,,
7-01,14:10:39.618,4,1,,,,,,,,,,,,,-89.0,,,
7-01,14:10:39.746,4,1,,,,,,,-90.0,,,-80.0,-87.0,,,,-81.0,
7-01,14:10:39.882,4,1,-90.0,,,,-86.0,-93.0,,,,,,-95.0,,,,
7-01,14:10:40.448,4,1,,,-95.0,,,,,,-89.0,,,,-84.0,-88.0,,-94.0
7-01,14:10:40.612,4,1,,-94.0,,-96.0,-86.0,,-92.0,,,,,-96.0,,,-83.0,
7-01,14:10:40.786,4,1,-87.0,,,,,,,,,-80.0,-87.0,,,,,
7-01,14:10:41.161,4,1,,-92.0,,,,-95.0,,-88.0,-87.0,,,,,,,
7-01,14:10:41.323,4,1,,,,,,,,,,,,,-85.0,,,
7-01,14:10:41.483,4,1,,,-93.0,,,,,,,,,,,,,
7-01,14:10:41.641,4,1,,,,-99.0,-86.0,,-90.0,,,,-88.0,-95.0,,,-80.0,
7-01,14:10:41.813,4,1,,,,,,-95.0,,,,,,,,,,
7-01,14:10:42.003,4,1,,,,,,,,,,,,,,-91.0,,
7-01,14:10:42.200,4,1,-80.0,,,-96.0,,,,-88.0,-88.0,-82.0,,,,,,-95.0
7-01,14:10:42.385,4,1,,,,,,,,,,,,,-83.0,,,
7-01,14:10:42.555,4,1,,,-97.0,,,,,,,,,,,,,
7-01,14:10:42.731,4,1,,-92.0,,,-85.0,,-91.0,,,,-85.0,,,,-83.0,
7-01,14:10:43.063,4,1,,,,,,,,,,,,-93.0,,,,
7-01,14:10:43.212,4,1,-82.0,,,-95.0,,,,-89.0,-87.0,-81.0,,,,,,-98.0
7-01,14:10:43.391,4,1,,,,,,-83.0,,,,,,,-84.0,,,
7-01,14:10:43.567,4,1,,,,,,,,,,,,,,-92.0,,
7-01,14:10:44.095,4,1,,,,,,,,,,,-88.0,,,,-82.0,
7-01,14:10:44.239,4,1,-82.0,-86.0,,-95.0,,,-91.0,-90.0,-89.0,,,,,,,
7-01,14:10:44.394,4,1,,,,,,-95.0,,,,,,,,,,-95.0
7-01,14:10:44.699,4,1,,,,,,,,,,-81.0,,,,-91.0,,
7-01,14:10:44.838,4,1,-93.0,-98.0,,,-87.0,,,,,,-86.0,-95.0,-84.0,,-83.0,
7-01,14:10:45.127,4,1,-94.0,,-98.0,,,,-86.0,,-83.0,-78.0,-94.0,-87.0,-98.0,,,
7-01,14:11:30.754,6,1,,,,-95.0,,,,,-87.0,,,,-94.0,,-92.0,-99.0
7-01,14:11:30.951,6,1,,-95.0,,,-84.0,-89.0,,,,,,-94.0,,-89.0,,
7-01,14:11:31.305,6,1,-91.0,,-92.0,,,,-87.0,-93.0,,-85.0,-94.0,,,,,
7-01,14:11:31.725,6,1,,-96.0,,-91.0,-87.0,,,,-86.0,,-98.0,-92.0,,,-95.0,-94.0
7-01,14:11:31.885,6,1,,,,,,,,,,,,,-89.0,,,
7-01,14:11:32.251,6,1,,,,,,,,-93.0,,-87.0,,,,,,
7-01,14:11:32.412,6,1,,-99.0,,,,-87.0,,,,,,,,-91.0,,
7-01,14:11:32.585,6,1,,,-96.0,,,,,,,,,,,,,
7-01,14:11:32.732,6,1,,,,,-87.0,,-87.0,,-86.0,,-97.0,,,,-91.0,
7-01,14:11:32.871,6,1,,,,-90.0,,,,,,,,-93.0,-90.0,,,-93.0
7-01,14:11:33.013,6,1,,,,,,,,,,,,,,-97.0,,
7-01,14:11:33.154,6,1,,,,,,,,-94.0,,-85.0,,,,,,
7-01,14:11:33.489,6,1,,-95.0,,,,-88.0,,,,,,,,,,
7-01,14:11:33.770,6,1,,,,-90.0,,,,,,,,,,,,-93.0
7-01,14:11:33.929,6,1,,,,,,,-86.0,,,,-95.0,-91.0,-89.0,-94.0,-91.0,
7-01,14:11:34.412,6,1,,-99.0,-90.0,,-85.0,-87.0,,-95.0,-87.0,-83.0,,,,,,
7-01,14:11:34.842,6,1,,,-95.0,-90.0,,,,,,,-95.0,-92.0,,,-94.0,-93.0
7-01,14:11:34.997,6,1,,,,,,,,,,,,,-90.0,,,
7-01,14:11:35.175,6,1,,,,,,,-85.0,,,,,,,,,
7-01,14:11:35.340,6,1,,,,,-84.0,-88.0,,-97.0,-86.0,,,,,,,
7-01,14:11:35.508,6,1,,,,,,,,,,-85.0,,,,,,
7-01,14:11:35.890,6,1,,-96.0,-97.0,-90.0,,,,,,,-94.0,-93.0,-91.0,,-94.0,
7-01,14:11:36.187,6,1,,,,,,,-85.0,,,,,,,-93.0,,
7-01,14:11:36.341,6,1,,-94.0,,-99.0,,,,,-85.0,-85.0,,,,,,
7-01,14:11:36.681,6,1,,,,,-83.0,,,-94.0,,,,,,-96.0,,-95.0
7-01,14:11:36.840,6,1,,,,,,,,,,,-95.0,,,,-90.0,
7-01,14:11:37.009,6,1,,,-96.0,,,-86.0,,,,,,,,,,
7-01,14:11:37.182,6,1,,,,,,,-85.0,,,,,,,,,
7-01,14:11:37.343,6,1,,,,,-84.0,,,-96.0,-87.0,-84.0,,-94.0,-90.0,,,
7-01,14:11:37.519,6,1,,-95.0,,,,,,,,,,,,,,-95.0
7-01,14:11:37.680,6,1,,,,,,,,,,,,,,-95.0,,
7-01,14:11:37.851,6,1,-90.0,,-96.0,-90.0,,-88.0,,,,,-98.0,,,,-91.0,
7-01,14:11:38.230,6,1,,,,,-83.0,,-85.0,-96.0,,,,,,,,
7-01,14:11:38.447,6,1,,-98.0,,,,,,,-86.0,-85.0,,-93.0,-90.0,,,
7-01,14:11:38.607,6,1,,,,-88.0,,-87.0,,,,,-98.0,,,-94.0,,
7-01,14:11:38.824,6,1,,,-95.0,,,,,,,,,,,,-91.0,
7-01,14:11:39.369,6,1,-90.0,-95.0,,,-85.0,,-85.0,-95.0,-86.0,-85.0,,-94.0,,,,-95.0
7-01,14:11:39.499,6,1,,,,,,,,,,,,,-90.0,-93.0,,
7-01,14:11:40.005,6,1,-92.0,,,-91.0,,-92.0,,,,,-95.0,,,,-90.0,
7-01,14:11:40.158,6,1,,,-96.0,,,,,,,,,,,,,
7-01,14:11:40.333,6,1,,-96.0,,,,,-86.0,,,-85.0,,-92.0,,,,
7-01,14:11:40.509,6,1,,,,,-85.0,,,-97.0,-86.0,,,,,-95.0,,-100.0
7-01,14:11:40.654,6,1,,,,,,,,,,,,,-91.0,,,
7-01,14:11:40.819,6,1,,,,-91.0,,,,,,,-94.0,,,,-92.0,
7-01,14:11:40.998,6,1,,,-97.0,,,-90.0,,,,,,,,,,
7-01,14:11:41.378,6,1,,,,,-84.0,,,,,,,,,,,
7-01,14:11:41.564,6,1,,-96.0,,,,,-85.0,-95.0,,-84.0,,-95.0,-90.0,-96.0,,-95.0
7-01,14:11:41.894,6,1,,,,-90.0,,,,,-86.0,,-95.0,,,,-92.0,
7-01,14:11:42.061,6,1,,,-98.0,,,-90.0,,,,,,,,,,
7-01,14:11:42.400,6,1,,-96.0,,,-84.0,,,-95.0,,-84.0,,-91.0,,,,-93.0
7-01,14:11:42.551,6,1,,,,,,,,,,,,,-90.0,,,
7-01,14:11:42.902,6,1,,,,-89.0,,,-85.0,,-87.0,,-92.0,,,-93.0,-91.0,
7-01,14:11:43.140,6,1,,,,,,-89.0,,,,,,,,,,
7-01,14:11:43.470,6,1,,-95.0,-93.0,,-83.0,,,,,-85.0,,-90.0,-94.0,-91.0,,-94.0
7-01,14:11:43.668,6,1,,,,,,,-85.0,-101.0,,,,,,,,
7-01,14:11:43.886,6,1,,,,-91.0,,,,,,,-94.0,,,,,
7-01,14:11:44.091,6,1,,,-96.0,,,-89.0,,,-86.0,,,,,,-92.0,
7-01,14:11:44.454,6,1,,-96.0,,,-83.0,,,,,-84.0,,-92.0,-91.0,,,
7-01,14:11:44.616,6,1,-93.0,,,,,,,-95.0,,,,,,-92.0,,-96.0
7-01,14:11:44.781,6,1,,,,,,,-84.0,,,,,,,,,
7-01,14:11:44.931,6,1,,,,-87.0,,,,,-86.0,,-93.0,,,,-94.0,
7-01,14:11:45.126,6,1,,,-97.0,,,-89.0,,,,,,,,,,
7-01,14:11:45.471,6,1,,-98.0,,,-84.0,,,-93.0,,-85.0,,-91.0,-90.0,,,-94.0
7-01,14:11:45.630,6,1,,,,-101.0,,,,,,,,,,,,
7-01,14:11:45.801,6,1,,,,,,,-86.0,,,,,,,-94.0,,
7-01,14:11:46.172,6,1,,,,,,,,,,,-91.0,,,,,
7-01,14:11:46.350,6,1,,,,,,-89.0,,,,,,,,,,
7-01,14:11:46.512,6,1,,,-87.0,,-86.0,,,-93.0,-88.0,-85.0,,-92.0,-92.0,-93.0,-86.0,-96.0
7-01,14:11:46.744,6,1,-92.0,,,,,-92.0,,,,,,,,,,
7-01,14:11:46.908,6,1,,-99.0,,,,,-84.0,,,,,,,,,
7-01,14:11:47.085,6,1,,,,-90.0,,,,,,,,,,,,
7-01,14:11:47.307,6,1,,,,,,,,,-89.0,,,,,,,
7-01,14:11:47.546,6,1,-90.0,,-87.0,,-83.0,,,-96.0,,-84.0,-85.0,,-92.0,-93.0,-86.0,-96.0
7-01,14:11:47.727,6,1,,,,,,,,,,,,-91.0,,,,
7-01,14:11:48.075,6,1,,-97.0,-97.0,-88.0,,-87.0,-83.0,,,,-92.0,,,,,
7-01,14:11:48.607,6,1,,,,,-84.0,,,-94.0,-87.0,-84.0,,-92.0,-91.0,-95.0,-85.0,-95.0
7-01,14:11:48.932,6,1,,,,,,,-85.0,,,,,,,,,
7-01,14:11:49.161,6,1,,-101.0,-99.0,-88.0,,-87.0,,,,,-92.0,,,,,
7-01,14:11:49.540,6,1,,,,,,,,,-86.0,,,,,,,
7-01,14:11:49.682,6,1,,,,,-84.0,,,-96.0,,-84.0,,-92.0,-93.0,,-85.0,
7-01,14:11:50.051,6,1,,,,-90.0,,-84.0,,,,,-93.0,,,,,
7-01,14:11:50.229,6,1,,,-94.0,,,,-86.0,,,,,,,-94.0,,
7-01,14:11:50.483,6,1,,,,,,,,,-87.0,,,,,,,
7-01,14:11:50.670,6,1,,-96.0,,,,,,-98.0,,,,-92.0,,,,
